"user_id","visited_home","viewed_products","added_to_cart","started_checkout","completed_purchase"
"user_1",1,0,0,0,0
"user_2",1,1,0,0,0
"user_3",1,0,0,0,0
"user_4",0,1,1,0,0
"user_5",0,0,0,0,0
"user_6",1,0,0,0,0
"user_7",1,0,0,0,0
"user_8",0,0,0,0,0
"user_9",1,0,0,0,0
"user_10",1,0,0,0,0
"user_11",0,0,0,0,0
"user_12",1,0,0,0,0
"user_13",1,0,0,0,0
"user_14",1,1,1,0,0
"user_15",1,1,0,0,0
"user_16",0,1,0,0,0
"user_17",1,0,0,0,0
"user_18",1,0,0,0,0
"user_19",1,1,0,0,0
"user_20",0,0,0,0,0
"user_21",0,1,0,0,0
"user_22",1,1,0,0,0
"user_23",1,0,0,0,0
"user_24",0,0,0,0,0
"user_25",1,0,0,0,0
"user_26",1,0,0,0,0
"user_27",1,0,0,0,0
"user_28",1,1,0,0,0
"user_29",1,1,0,0,0
"user_30",1,1,0,0,0
"user_31",0,0,0,0,0
"user_32",0,0,0,0,0
"user_33",1,1,0,0,0
"user_34",1,0,0,0,0
"user_35",1,0,0,0,0
"user_36",1,1,0,0,0
"user_37",1,0,0,0,0
"user_38",1,0,0,0,0
"user_39",1,1,0,0,0
"user_40",1,1,0,0,0
"user_41",1,1,0,0,0
"user_42",1,0,0,0,0
"user_43",1,1,0,0,0
"user_44",1,1,0,0,0
"user_45",1,0,0,0,0
"user_46",1,1,0,0,0
"user_47",1,1,0,0,0
"user_48",1,0,0,0,0
"user_49",1,0,0,0,0
"user_50",0,1,0,0,0
"user_51",1,0,0,0,0
"user_52",1,0,0,0,0
"user_53",1,0,0,0,0
"user_54",1,0,0,0,0
"user_55",1,0,0,0,0
"user_56",1,0,0,0,0
"user_57",1,0,0,0,0
"user_58",1,1,0,0,0
"user_59",0,0,0,0,0
"user_60",1,1,1,1,1
"user_61",1,0,0,0,0
"user_62",1,0,0,0,0
"user_63",1,0,0,0,0
"user_64",1,0,0,0,0
"user_65",0,0,0,0,0
"user_66",1,1,0,0,0
"user_67",0,0,0,0,0
"user_68",0,0,0,0,0
"user_69",1,1,1,0,0
"user_70",1,0,0,0,0
"user_71",1,1,1,1,0
"user_72",1,0,0,0,0
"user_73",1,1,1,0,0
"user_74",1,0,0,0,0
"user_75",1,0,0,0,0
"user_76",1,0,0,0,0
"user_77",1,0,0,0,0
"user_78",1,0,0,0,0
"user_79",1,0,0,0,0
"user_80",1,0,0,0,0
"user_81",1,0,0,0,0
"user_82",1,0,0,0,0
"user_83",1,0,0,0,0
"user_84",1,0,0,0,0
"user_85",1,0,0,0,0
"user_86",1,0,0,0,0
"user_87",0,0,0,0,0
"user_88",0,0,0,0,0
"user_89",0,0,0,0,0
"user_90",1,0,0,0,0
"user_91",1,0,0,0,0
"user_92",1,0,0,0,0
"user_93",1,1,0,0,0
"user_94",1,1,0,0,0
"user_95",1,1,1,1,0
"user_96",1,0,0,0,0
"user_97",1,0,0,0,0
"user_98",1,0,0,0,0
"user_99",1,0,0,0,0
"user_100",1,0,0,0,0
"user_101",1,1,0,0,0
"user_102",1,1,1,0,0
"user_103",1,1,0,0,0
"user_104",0,0,0,0,0
"user_105",1,1,0,0,0
"user_106",0,0,0,0,0
"user_107",0,0,0,0,0
"user_108",1,0,0,0,0
"user_109",1,1,0,0,0
"user_110",1,0,0,0,0
"user_111",0,0,0,0,0
"user_112",1,0,0,0,0
"user_113",1,0,0,0,0
"user_114",0,0,0,0,0
"user_115",1,0,0,0,0
"user_116",1,0,0,0,0
"user_117",1,1,0,0,0
"user_118",0,0,0,0,0
"user_119",1,0,0,0,0
"user_120",1,0,0,0,0
"user_121",1,0,0,0,0
"user_122",1,0,0,0,0
"user_123",1,1,0,0,0
"user_124",1,0,0,0,0
"user_125",1,0,0,0,0
"user_126",0,0,0,0,0
"user_127",1,0,0,0,0
"user_128",1,0,0,0,0
